,Stock,Coefficient
0,A,5.590748697539081
1,AA,-18.564544729816546
2,AABA,-3.267034147525768
3,AAL,-7.369602030349586
4,AAOI,-36.71275749870686
5,AAP,13.3111748722881
6,AAPL,-2.5963418987099725
7,AAXN,-5.488904364933141
8,AB,1.7513518686938496
9,ABB,-6.421779770601035
10,ABBV,-6.080154846897499
11,ABC,-3.3968448863616487
12,ABEO,-27.210360259043387
13,ABEV,-0.5228798234433721
14,ABMD,-6.562856392688629
15,ABT,8.955111084028458
16,ACAD,9.428219713852702
17,ACC,4.650938874116866
18,ACIA,15.202392767011855
19,ACIW,9.080967604199795
20,ACLS,-4.025727124038582
21,ACM,-5.19782303252137
22,ACN,0.35678387351115526
23,ACOR,-18.415021172111814
24,ADAP,-25.88702523331141
25,ADBE,1.9856712131423087
26,ADDYY,-0.5814300232535168
27,ADI,1.3278067539182736
28,ADM,-2.2814266503641494
29,ADNT,-25.76410534447669
30,ADP,5.734383653633986
31,ADSK,4.345178447242094
32,ADUS,6.898302891271027
33,ADXS,-31.93404459964268
34,AEE,7.9517483794773804
35,AEM,-1.9904675482692369
36,AEO,-4.708882222246578
37,AEP,6.506522582464116
38,AER,-6.820352789959066
39,AES,14.467105080001842
40,AFL,2.6074613708461722
41,AG,-0.2834512904536243
42,AGCO,0.06900296981756328
43,AGEN,-0.07936445436792737
44,AGIO,-14.545655798479666
45,AGLE,-0.615899510868784
46,AGN,-4.480347479913167
47,AGNC,-2.3591282155468045
48,AGO,5.056909013231305
49,AGR,-1.5972335597512526
50,AGRO,-0.3912403062797887
51,AIG,-9.134104715192041
52,AIMT,-8.800847389821197
53,AJG,5.062754981959536
54,AKAM,-4.086331195300155
55,AKRX,-25.643234616007803
56,AKS,-0.6501102498586979
57,ALB,-5.265288390483657
58,ALDR,-8.913839151226457
59,ALE,2.447076301836346
60,ALGN,-11.27083076755702
61,ALGT,-5.972812769828017
62,ALK,-0.3846538379557443
63,ALKS,-10.525842555746383
64,ALL,-2.344233041066764
65,ALLE,3.184870641011836
66,ALLY,-1.649611038321213
67,ALNY,-7.185446017539565
68,ALRM,16.82845846737867
69,ALSN,5.7402595276370185
70,ALV,-10.327483256782223
71,ALXN,1.668035861943107
72,AMAG,-13.789752507167803
73,AMAT,-10.062359192241539
74,AMBA,-5.040992910035313
75,AMC,-5.2984006437753886
76,AMCX,2.1062342871471555
77,AMD,3.390832296111999
78,AME,0.7393616044344999
79,AMGN,2.818251005408695
80,AMJ,-2.230833397203814
81,AMOT,-2.9343217706427738
82,AMP,-5.18736471180528
83,AMRN,6.1390519048714225
84,AMT,9.23858260121864
85,AMTD,-4.250083733103473
86,AMZN,0.9864607797506563
87,ANAB,-6.216594511037951
88,ANDE,-0.2741003407297857
89,ANET,-2.165845221837552
90,ANF,-6.568385786606171
91,ANGI,3.5613634355805392
92,ANSS,-0.6115457777050907
93,ANTM,9.18863664134986
94,ANZ,
95,AOBC,2.1146839979466274
96,AOS,-8.66908870678774
97,APA,-9.175807899241237
98,APC,-14.182030565451159
99,APD,2.0213760688783275
100,APH,0.48032881074786543
101,APO,-4.843882680354832
102,APOP,-1.984076645071606
103,APPF,7.530531674851453
104,APRN,-0.575164925351139
105,APTO,-0.5610335414602541
106,APTV,-8.279302234823726
107,AR,-20.413735807502125
108,ARCH,1.0196897338830884
109,ARD,-11.365252510442659
110,ARDX,-0.7869923373017853
111,ARGX,12.312614272402397
112,ARMK,-7.069263065107342
113,ARNA,2.603960128503071
114,ARNC,-1.3842665266608258
115,ARRY,10.173607193687058
116,ARTW,-0.2727837217945597
117,ARW,-0.4567081389485628
118,ASB,-8.099035656405785
119,ASMB,-18.856196106573606
120,ASML,-5.089809973269918
121,ATH,-3.546252541114913
122,ATHM,-8.068965590486334
123,ATI,-1.156739745568193
124,ATUS,3.360914960288057
125,ATVI,-14.24540773440263
126,AUPH,0.3374929148414967
127,AUY,-0.166392201158519
128,AVAV,14.527361445709724
129,AVEO,-0.4888074713691186
130,AVGO,4.866718385363346
131,AVLR,3.977387966927841
132,AVP,0.11800755165017311
133,AVY,-1.7883582165059988
134,AWK,6.896085611698832
135,AXL,-5.915999193590744
136,AXP,2.8986370615254224
137,AXTA,-7.844606328734009
138,AYI,-0.9374267429709298
139,AZN,3.8733035516162593
140,AZO,15.102234437865945
141,AZPN,1.4592864327748025
142,BA,3.4244445619687927
143,BABA,-4.9508713621300995
144,BAC,-2.6195909142624636
145,BAH,9.597806211719467
146,BAM,3.122717400142582
147,BATRA,4.957645663061069
148,BAX,0.47108284070457623
149,BAYRY,-13.761540688356364
150,BB,-8.773632541516095
151,BBBY,-8.399453277353528
152,BBD,0.7976865399089792
153,BBT,-3.3915222940605503
154,BBVA,-0.6544556038590886
155,BBY,-7.1306829071962845
156,BC,-8.560090915298058
157,BCE,1.012935323179052
158,BCEI,-13.780554975034583
159,BCLI,-0.06520505159762817
160,BCO,-1.78828575994369
161,BCRX,1.1189665077961681
162,BCS,-9.744938926623567
163,BDC,-5.2436260808543365
164,BDX,1.674298778462955
165,BECN,-8.283998594118088
166,BEN,-2.0294277041434996
167,BFAM,6.736846596348668
168,BG,-9.220639847555848
169,BGFV,-1.6347109951606824
170,BGNE,-10.048354327033108
171,BGS,-1.5695929561253146
172,BHC,0.7928948384955307
173,BHF,-7.55336598754441
174,BHGE,-13.029930757681306
175,BHP,1.8868506350382883
176,BID,-12.31648100102884
177,BIDU,-13.775690708311496
178,BIG,-8.140480716953006
179,BIIB,2.0000349466527347
180,BIO,-1.5648433462051223
181,BJRI,-3.831863886640751
182,BK,-2.955135486097927
183,BKE,-10.722867993399445
184,BKNG,-5.838218624859575
185,BKS,0.2043065781113209
186,BL,2.504575723856463
187,BLCM,-1.6408780602579232
188,BLDR,-12.327407074428649
189,BLK,-8.315230820258048
190,BLMN,-3.8407291925458757
191,BLPH,-0.5719213525524671
192,BLUE,-10.418602289813501
193,BMO,-2.024304636341239
194,BMRN,1.3512362227380867
195,BMY,-3.1952285012314534
196,BOCH,-2.6596008131587854
197,BOLD,-10.942143870332545
198,BOOT,7.112703772413541
199,BOX,-9.628995724337457
200,BP,-2.9009874206328994
201,BR,-5.242014851290043
202,BREW,-7.906183873370633
203,BRK-A,1.3988039943502553
204,BRKR,6.420739178974703
205,BSMX,-0.20830233866300188
206,BSX,10.405226486348205
207,BT,-0.1461765569650502
208,BTI,-11.043648700185205
209,BTU,-10.144029288880645
210,BUD,-8.712964383270725
211,BUI,0.809220735064634
212,BURG,-0.533434094168743
213,BURL,4.871477680119298
